iata,icao,name,location,time,country
AAA,NTGA,Anaa Airport,"Anaa, Tuamotus, French Polynesia",UTC−10:00,French Polynesia
AAB,YARY,Arrabury Airport,"Arrabury, Queensland, Australia",UTC+10:00,Australia
AAC,HEAR,El Arish International Airport,"El Arish, Egypt",UTC+02:00,Egypt
AAD,HCAD,Adado Airport,"Adado (Cadaado), Galguduud, Somalia",UTC+03:00,Somalia
AAE,DABB,Rabah Bitat Airport (Les Salines Airport),"Annaba, Algeria",UTC+01:00,Algeria
AAF,KAAF,Apalachicola Regional Airport,"Apalachicola, Florida, United States",UTC−05:00,United States
AAG,SSYA,Arapoti Airport,"Arapoti, Paraná, Brazil",UTC−03:00,Brazil
AAH,EDKA,Merzbrück Airport,"Aachen, North Rhine-Westphalia, Germany",UTC+01:00,Germany
AAI,SWRA,Arraias Airport,"Arraias, Tocantins, Brazil",UTC−03:00,Brazil
AAJ,SMCA,Cayana Airstrip,"Awaradam, Suriname",UTC−03:00,Suriname
AAK,NGUK,Aranuka Airport,"Aranuka, Kiribati",UTC+12:00,Kiribati
AAL,EKYT,Aalborg Airport,"Aalborg, Denmark",UTC+01:00,Denmark
AAM,FAMD,Mala Mala Airport,"Mala Mala, South Africa",UTC+02:00,South Africa
AAN,OMAL,Al Ain International Airport,"Al Ain, United Arab Emirates",UTC+04:00,United Arab Emirates
AAO,SVAN,Anaco Airport,"Anaco, Venezuela",UTC−04:00,Venezuela
AAP,WALS,Aji Pangeran Tumenggung Pranoto International Airport,"Samarinda, East Kalimantan, Indonesia",UTC+08:00,Indonesia
AAQ,URKA,Anapa Airport,"Anapa, Krasnodar Krai, Russia",UTC+03:00,Russia
AAR,EKAH,Aarhus Airport,"Aarhus, Denmark",UTC+01:00,Denmark
AAS,Not Available,Apalapsili Airport,"Apalapsili, Indonesia",UTC+09:00,Indonesia
AAT,ZWAT,Altay Airport,"Altay, Xinjiang, China",UTC+08:00,China
AAU,NSAU,Asau Airport,"Asau, Savai'i Island, Samoa",UTC+13:00,Samoa
AAV,RPMA,Allah Valley Airport,"Surallah, Philippines",UTC+08:00,Philippines
AAX,SBAX,Araxá Airport,"Araxá, Minas Gerais, Brazil",UTC−03:00,Brazil
AAY,OYGD,Al Ghaydah Airport,"Al Ghaydah, Yemen",UTC+03:00,Yemen
AAZ,MGQZ,Quetzaltenango Airport,"Quetzaltenango, Guatemala",UTC−06:00,Guatemala
ABA,UNAA,Abakan International Airport,"Abakan, Republic of Khakassia, Russia",UTC+07:00,Russia
ABB,DNAS,Asaba International Airport,"Asaba, Nigeria",UTC+01:00,Nigeria
ABC,LEAB,Albacete Airport,"Albacete, Castilla-La Mancha, Spain",UTC+01:00,Spain
ABD,OIAA,Abadan International Airport,"Abadan, Iran",UTC+03:30,Iran
ABE,KABE,Lehigh Valley International Airport,"Allentown, Pennsylvania, United States",UTC−05:00,United States
ABF,NGAB,Abaiang Atoll Airport,"Abaiang, Kiribati",UTC+12:00,Kiribati
ABG,YABI,Abingdon Airport,"Abingdon Downs, Queensland, Australia",UTC+10:00,Australia
ABH,YAPH,Alpha Airport,"Alpha, Queensland, Australia",UTC+10:00,Australia
ABI,KABI,Abilene Regional Airport,"Abilene, Texas, United States",UTC−06:00,United States
ABJ,DIAP,Port Bouet Airport (Felix Houphouet Boigny Int'l),"Abidjan, Côte d'Ivoire",UTC+00:00,Côte d'Ivoire
ABK,HAKD,Kabri Dar Airport,"Kebri Dahar, Ethiopia",UTC+03:00,Ethiopia
ABL,PAFM,Ambler Airport (FAA: AFM),"Ambler, Alaska, United States",UTC−09:00,United States
ABM,YNPE,Northern Peninsula Airport,"Bamaga, Queensland, Australia",UTC+10:00,Australia
ABN,SMBN,Albina Airstrip,"Albina, Suriname",UTC−03:00,Suriname
ABO,DIAO,Aboisso Airport,"Aboisso, Côte d'Ivoire",UTC+00:00,Côte d'Ivoire
ABP,Not Available,Atkamba Airport,"Atkamba, Papua New Guinea",UTC+10:00,Papua New Guinea
ABQ,KABQ,Albuquerque International Sunport,"Albuquerque, New Mexico, United States",UTC−07:00,United States
ABR,KABR,Aberdeen Regional Airport,"Aberdeen, South Dakota, United States",UTC−06:00,United States
ABS,HEBL,Abu Simbel Airport,"Abu Simbel, Egypt",UTC+02:00,Egypt
ABT,OEBA,Al-Baha Domestic Airport,"Al Bahah, Saudi Arabia",UTC+03:00,Saudi Arabia
ABU,WATA,Haliwen Airport,"Atambua, Indonesia",UTC+08:00,Indonesia
ABV,DNAA,Nnamdi Azikiwe International Airport,"Abuja, Nigeria",UTC+01:00,Nigeria
ABW,Not Available,Abau Airport,"Abau, Papua New Guinea",UTC+10:00,Papua New Guinea
ABX,YMAY,Albury Airport,"Albury, New South Wales, Australia",UTC+10:00,Australia
ABY,KABY,Southwest Georgia Regional Airport,"Albany, Georgia, United States",UTC−05:00,United States
ABZ,EGPD,Aberdeen Airport,"Aberdeen, Scotland, United Kingdom",UTC+00:00,United Kingdom
ACA,MMAA,General Juan N. Álvarez International Airport,"Acapulco, Guerrero, Mexico",UTC−06:00,Mexico
ACB,KACB,Antrim County Airport,"Bellaire, Michigan, United States",UTC−05:00,United States
